Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
A6NI73,reviewed,LIRA5_HUMAN,"Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11, ILT-11) (Leukocyte immunoglobulin-like receptor 9, LIR-9) (CD antigen CD85f)",LILRA5 ILT11 LILRB7 LIR9,Homo sapiens (Human),299,cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12393390}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:12393390}.,32755,FUNCTION: May play a role in triggering innate immune responses. Does not seem to play a role for any class I MHC antigen recognition. {ECO:0000269|PubMed:16675463}.,"TISSUE SPECIFICITY: Expressed mostly in tissues of the hematopoietic system, including bone marrow, spleen, lymph node and peripheral leukocytes. Among leukocytes, monocytes and neutrophils express the highest level. Expressed in CD14+ monocytes, but not in T-cells, B-cells or natural killer (NK) cells (at protein level). {ECO:0000269|PubMed:12393390}.",cytokine-mediated signaling pathway [GO:0019221]; innate immune response [GO:0045087]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-13 production [GO:0032696]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell activation [GO:0050867]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of tumor necrosis factor production [GO:0032760],"SIGNAL 1..41; /evidence=""ECO:0000255""",
A6NMY6,reviewed,AXA2L_HUMAN,Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene),ANXA2P2 ANX2L2 ANX2P2 LPC2B,Homo sapiens (Human),339,basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle [GO:0031982],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250}. Melanosome {ECO:0000250}. Note=In the lamina beneath the plasma membrane. In melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism. {ECO:0000250}.",38659,FUNCTION: Calcium-regulated membrane-binding protein whose affinity for calcium is greatly enhanced by anionic phospholipids. It binds two calcium ions with high affinity. May be involved in heat-stress response. {ECO:0000250}.,,,,
A6NMZ7,reviewed,CO6A6_HUMAN,Collagen alpha-6(VI) chain,COL6A6,Homo sapiens (Human),2263,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}.",247173,FUNCTION: Collagen VI acts as a cell-binding protein. {ECO:0000250}.,,cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],"SIGNAL 1..19; /evidence=""ECO:0000255""",
A8K2U0,reviewed,A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),A2ML1 CPAMD9,Homo sapiens (Human),1454,extracellular exosome [GO:0070062]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16298998}.,161107,"FUNCTION: Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase (By similarity). Displays inhibitory activity against chymotrypsin, papain, thermolysin, subtilisin A and, to a lesser extent, elastase but not trypsin. May play an important role during desquamation by inhibiting extracellular proteases. {ECO:0000250|UniProtKB:P01023, ECO:0000269|PubMed:16298998}.","TISSUE SPECIFICITY: In the epidermis, expressed predominantly in the granular layer at the apical edge of keratinocytes (at protein level). Also detected in placenta, testis and thymus but not in epithelia of kidney, lung, small intestine or colon. {ECO:0000269|PubMed:16298998}.",regulation of endopeptidase activity [GO:0052548],"SIGNAL 1..17; /evidence=""ECO:0000255""",
A8K7I4,reviewed,CLCA1_HUMAN,"Calcium-activated chloride channel regulator 1, EC 3.4.-.- (Calcium-activated chloride channel family member 1, hCLCA1) (Calcium-activated chloride channel protein 1, CaCC-1, hCaCC-1)",CLCA1 CACC1,Homo sapiens (Human),914,extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; zymogen granule membrane [GO:0042589],"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:15919655}. Cell membrane {ECO:0000269|PubMed:15919655}; Peripheral membrane protein {ECO:0000269|PubMed:15919655}; Extracellular side {ECO:0000269|PubMed:15919655}. Note=Protein that remains attached to the plasma membrane appeared to be predominantly localized to microvilli.",100226,"FUNCTION: May be involved in mediating calcium-activated chloride conductance. May play critical roles in goblet cell metaplasia, mucus hypersecretion, cystic fibrosis and AHR. May be involved in the regulation of mucus production and/or secretion by goblet cells. Involved in the regulation of tissue inflammation in the innate immune response. May play a role as a tumor suppressor. Induces MUC5AC. {ECO:0000269|PubMed:11445004, ECO:0000269|PubMed:11842292, ECO:0000269|PubMed:11956057, ECO:0000269|PubMed:23112050, ECO:0000269|PubMed:9828122}.","TISSUE SPECIFICITY: Highly expressed in small intestine and colon namely in intestinal basal crypt epithelia and goblet cells, and appendix. Weakly expressed in uterus, testis and kidney. Expressed in the airways epithelium of both asthmatic and healthy patients. Expressed in the bronchial epithelium, especially in mucus-producing goblet cells. Expressed in normal turbinate mucosa and nasal polyp. Expressed in. {ECO:0000269|PubMed:10437792, ECO:0000269|PubMed:11842292, ECO:0000269|PubMed:11956057, ECO:0000269|PubMed:16012037, ECO:0000269|PubMed:9828122}.",calcium ion transport [GO:0006816]; cellular response to hypoxia [GO:0071456]; ion transmembrane transport [GO:0034220]; proteolysis [GO:0006508],"SIGNAL 1..21; /evidence=""ECO:0000255""",
A8TX70,reviewed,CO6A5_HUMAN,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4),COL6A5 COL29A1 VWA4,Homo sapiens (Human),2615,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}.",289926,FUNCTION: Collagen VI acts as a cell-binding protein. {ECO:0000250}.,"TISSUE SPECIFICITY: Expressed in skin, followed by lung, small intestine, colon and testis. In skin, it is expressed in the epidermis with strongest staining in suprabasal viable layers. In ATOD patients, it is absent in the most differentiated upper spinous and granular layers (at protein level). {ECO:0000269|PubMed:17850181}.",cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],"SIGNAL 1..18; /evidence=""ECO:0000255""",
B2RUY7,reviewed,VWC2L_HUMAN,"von Willebrand factor C domain-containing protein 2-like, VWC2-like protein (Brorin-like)",VWC2L,Homo sapiens (Human),222,AMPA glutamate receptor complex [GO:0032281]; anchoring junction [GO:0070161]; extracellular space [GO:0005615]; synapse [GO:0045202],SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Synapse {ECO:0000250}.,24570,FUNCTION: May play a role in neurogenesis. May play a role in bone differentiation and matrix mineralization. {ECO:0000250}.,,negative regulation of BMP signaling pathway [GO:0030514]; positive regulation of neuron differentiation [GO:0045666],"SIGNAL 1..21; /evidence=""ECO:0000255""",
K9M1U5,reviewed,IFNL4_HUMAN,"Interferon lambda-4, IFN-lambda-4",IFNL4,Homo sapiens (Human),179,cytoplasm [GO:0005737]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23291588}. Secreted {ECO:0000269|PubMed:23291588}.,19675,FUNCTION: Cytokine that may trigger an antiviral response activating the JAK-STAT pathway and up-regulating specifically some interferon-stimulated genes. {ECO:0000269|PubMed:23291588}.,,cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of immune response [GO:0050778]; type III interferon signaling pathway [GO:0038196]; tyrosine phosphorylation of STAT protein [GO:0007260],"SIGNAL 1..21; /evidence=""ECO:0000255""",
O00175,reviewed,CCL24_HUMAN,"C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2, Eotaxin-2) (Myeloid progenitor inhibitory factor 2, MPIF-2) (Small-inducible cytokine A24)",CCL24 MPIF2 SCYA24,Homo sapiens (Human),119,extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:9104803, ECO:0000269|PubMed:9365122}.",13134,"FUNCTION: Chemotactic for resting T-lymphocytes, and eosinophils (PubMed:9104803, PubMed:9365122). Has lower chemotactic activity for neutrophils but none for monocytes and activated lymphocytes (PubMed:9104803, PubMed:9365122). Is a strong suppressor of colony formation by a multipotential hematopoietic progenitor cell line (PubMed:9104803, PubMed:9365122). Binds to CCR3 (PubMed:9104803, PubMed:9365122). {ECO:0000269|PubMed:9104803, ECO:0000269|PubMed:9365122}.",TISSUE SPECIFICITY: Activated monocytes and activated T lymphocytes. {ECO:0000269|PubMed:9104803}.,cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of eosinophil migration [GO:2000418]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of inflammatory response [GO:0050729]; regulation of cell shape [GO:0008360]; signal transduction [GO:0007165],"SIGNAL 1..26; /evidence=""ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9104803, ECO:0000269|PubMed:9365122""",
O00182,reviewed,LEG9_HUMAN,"Galectin-9, Gal-9 (Ecalectin) (Tumor antigen HOM-HD-21)",LGALS9,Homo sapiens (Human),355,collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23242525}. Nucleus {ECO:0000269|PubMed:23242525}. Secreted {ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:25578313}. Note=May also be secreted by a non-classical secretory pathway (By similarity). Secreted by mesenchymal stromal cells upon IFNG stimulation (PubMed:23817958). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:23817958}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24333696}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:24333696}.",39518,"FUNCTION: Binds galactosides (PubMed:18005988). Has high affinity for the Forssman pentasaccharide (PubMed:18005988). Ligand for HAVCR2/TIM3 (PubMed:16286920). Binding to HAVCR2 induces T-helper type 1 lymphocyte (Th1) death (PubMed:16286920). Also stimulates bactericidal activity in infected macrophages by causing macrophage activation and IL1B secretion which restricts intracellular bacterial growth (By similarity). Ligand for P4HB; the interaction retains P4HB at the cell surface of Th2 T-helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration (PubMed:21670307). Ligand for CD44; the interaction enhances binding of SMAD3 to the FOXP3 promoter, leading to up-regulation of FOXP3 expression and increased induced regulatory T (iTreg) cell stability and suppressive function (By similarity). Promotes ability of mesenchymal stromal cells to suppress T-cell proliferation (PubMed:23817958). Expands regulatory T-cells and induces cytotoxic T-cell apoptosis following virus infection (PubMed:20209097). Activates ERK1/2 phosphorylation inducing cytokine (IL-6, IL-8, IL-12) and chemokine (CCL2) production in mast and dendritic cells (PubMed:24465902, PubMed:16116184). Inhibits degranulation and induces apoptosis of mast cells (PubMed:24465902). Induces maturation and migration of dendritic cells (PubMed:25754930, PubMed:16116184). Inhibits natural killer (NK) cell function (PubMed:23408620). Can transform NK cell phenotype from peripheral to decidual during pregnancy (PubMed:25578313). Astrocyte derived galectin-9 enhances microglial TNF production (By similarity). May play a role in thymocyte-epithelial interactions relevant to the biology of the thymus. May provide the molecular basis for urate flux across cell membranes, allowing urate that is formed during purine metabolism to efflux from cells and serving as an electrogenic transporter that plays an important role in renal and gastrointestinal urate excretion (By similarity). Highly selective to the anion urate (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000250|UniProtKB:P97840, ECO:0000269|PubMed:16116184, ECO:0000269|PubMed:16286920, ECO:0000269|PubMed:18005988, ECO:0000269|PubMed:18977853, ECO:0000269|PubMed:20209097, ECO:0000269|PubMed:21670307, ECO:0000269|PubMed:23408620, ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:24465902, ECO:0000269|PubMed:25578313, ECO:0000269|PubMed:25754930}.; FUNCTION: [Isoform 2]: Acts as an eosinophil chemoattractant (PubMed:9642261). It also inhibits angiogenesis (PubMed:24333696). Suppresses IFNG production by natural killer cells (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:9642261}.","TISSUE SPECIFICITY: Peripheral blood leukocytes and lymphatic tissues. Expressed in lung, liver, breast and kidney with higher levels in tumor endothelial cells than normal endothelium (at protein level) (PubMed:24333696). Expressed in trophoblast cells in decidua and placenta in pregnancy (at protein level) (PubMed:23242525, PubMed:25578313). Isoform 2 is the most abundant isoform expressed in endothelial cells (PubMed:24333696). Upon endothelial cell activation isoform 2 expression decreases while expression of isoform 3 and isoform 5 increases (PubMed:24333696). Isoform 4 decreases in pathological pregnancy (PubMed:23242525). {ECO:0000269|PubMed:23242525, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:25578313}.","cellular response to interferon-gamma [GO:0071346]; cellular response to virus [GO:0098586]; chemotaxis [GO:0006935]; ERK1 and ERK2 cascade [GO:0070371]; female pregnancy [GO:0007565]; inflammatory response [GO:0006954]; maternal process involved in female pregnancy [GO:0060135]; natural killer cell tolerance induction [GO:0002519]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]; negative regulation of chemokine production [GO:0032682]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of mast cell degranulation [GO:0043305]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of tumor necrosis factor production [GO:0032720]; p38MAPK cascade [GO:0038066]; positive regulation of activated T cell autonomous cell death [GO:0070241]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response [GO:0032834]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of dendritic cell apoptotic process [GO:2000670]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-13 production [GO:0032736]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001190]; positive regulation of transforming growth factor beta production [GO:0071636]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of viral entry into host cell [GO:0046598]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]",,
O00187,reviewed,MASP2_HUMAN,"Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]",MASP2,Homo sapiens (Human),686,external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370],SUBCELLULAR LOCATION: Secreted.,75702,"FUNCTION: Serum protease that plays an important role in the activation of the complement system via mannose-binding lectin. After activation by auto-catalytic cleavage it cleaves C2 and C4, leading to their activation and to the formation of C3 convertase. {ECO:0000269|PubMed:10946292}.",TISSUE SPECIFICITY: Plasma.,"cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation, classical pathway [GO:0006958]; complement activation, lectin pathway [GO:0001867]; positive regulation of opsonization [GO:1903028]; proteolysis [GO:0006508]","SIGNAL 1..15; /evidence=""ECO:0000255""",
O00230,reviewed,CORT_HUMAN,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17 ],CORT UNQ307/PRO350,Homo sapiens (Human),105,extracellular region [GO:0005576]; extracellular space [GO:0005615]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; synapse [GO:0045202],SUBCELLULAR LOCATION: Secreted.,11532,FUNCTION: Binds to all human somatostatin receptor (SSTR) subtypes. It also inhibits cAMP production induced by forskolin through SSTRs.,TISSUE SPECIFICITY: Expressed in a subset of GABAergic cells in the cortex and hippocampus.,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712],"SIGNAL 1..18; /evidence=""ECO:0000255""",
O00253,reviewed,AGRP_HUMAN,Agouti-related protein,AGRP AGRT ART,Homo sapiens (Human),132,extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; neuronal cell body [GO:0043025],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15927146}. Golgi apparatus lumen {ECO:0000269|PubMed:15927146}.,14440,"FUNCTION: Plays a role in weight homeostasis. Involved in the control of feeding behavior through the central melanocortin system. Acts as alpha melanocyte-stimulating hormone antagonist by inhibiting cAMP production mediated by stimulation of melanocortin receptors within the hypothalamus and adrenal gland. Has very low activity with MC5R (By similarity). Is an inverse agonist for MC3R and MC4R being able to suppress their constitutive activity. It promotes MC3R and MC4R endocytosis in an arrestin-dependent manner. {ECO:0000250, ECO:0000269|PubMed:10371151, ECO:0000269|PubMed:11145747, ECO:0000269|PubMed:15927146, ECO:0000269|PubMed:17041250, ECO:0000269|PubMed:9892020}.","TISSUE SPECIFICITY: Expressed primarily in the adrenal gland, subthalamic nucleus, and hypothalamus, with a lower level of expression occurring in testis, lung, and kidney.",adult feeding behavior [GO:0008343]; circadian rhythm [GO:0007623]; eating behavior [GO:0042755]; feeding behavior [GO:0007631]; hormone-mediated signaling pathway [GO:0009755]; long-day photoperiodism [GO:0048571]; maternal process involved in female pregnancy [GO:0060135]; neuropeptide signaling pathway [GO:0007218]; positive regulation of feeding behavior [GO:2000253]; regulation of feeding behavior [GO:0060259]; response to insulin [GO:0032868],"SIGNAL 1..20; /evidence=""ECO:0000255""",
O00292,reviewed,LFTY2_HUMAN,"Left-right determination factor 2 (Endometrial bleeding-associated factor) (Left-right determination factor A) (Protein lefty-2) (Protein lefty-A) (Transforming growth factor beta-4, TGF-beta-4)",LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024,Homo sapiens (Human),366,collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093],SUBCELLULAR LOCATION: Secreted.,40920,FUNCTION: Required for left-right (L-R) asymmetry determination of organ systems in mammals. May play a role in endometrial bleeding.,TISSUE SPECIFICITY: Mesenchymal cells of the endometrial stroma.,BMP signaling pathway [GO:0030509]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; SMAD protein signal transduction [GO:0060395],"SIGNAL 1..21; /evidence=""ECO:0000255""",
O00294,reviewed,TULP1_HUMAN,Tubby-related protein 1 (Tubby-like protein 1),TULP1 TUBL1,Homo sapiens (Human),542,anchoring junction [GO:0070161]; axon terminus [GO:0043679]; cell projection [GO:0042995]; cilium [GO:0005929]; cytosol [GO:0005829]; extracellular region [GO:0005576]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; synapse [GO:0045202],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16303976}. Cell membrane {ECO:0000269|PubMed:16303976}; Peripheral membrane protein {ECO:0000269|PubMed:16303976}; Cytoplasmic side {ECO:0000269|PubMed:16303976}. Secreted {ECO:0000250}. Synapse {ECO:0000250}. Note=Detected at synapses between photoreceptor cells and second-order neurons. Does not have a cleavable signal peptide and is secreted by an alternative pathway (By similarity). {ECO:0000250}.,60609,"FUNCTION: Required for normal development of photoreceptor synapses. Required for normal photoreceptor function and for long-term survival of photoreceptor cells. Interacts with cytoskeleton proteins and may play a role in protein transport in photoreceptor cells (By similarity). Binds lipids, especially phosphatidylinositol 3-phosphate, phosphatidylinositol 4-phosphate, phosphatidylinositol 5-phosphate, phosphatidylinositol 3,4-bisphosphate, phosphatidylinositol 4,5-bisphosphate, phosphatidylinositol 3,4,5-bisphosphate, phosphatidylserine and phosphatidic acid (in vitro). Contribute to stimulation of phagocytosis of apoptotic retinal pigment epithelium (RPE) cells and macrophages. {ECO:0000250, ECO:0000269|PubMed:16303976, ECO:0000269|PubMed:19837063}.",TISSUE SPECIFICITY: Retina-specific.,"dendrite development [GO:0016358]; detection of light stimulus involved in visual perception [GO:0050908]; eye photoreceptor cell development [GO:0042462]; phagocytosis, recognition [GO:0006910]; photoreceptor cell maintenance [GO:0045494]; positive regulation of phagocytosis [GO:0050766]; protein localization to cilium [GO:0061512]; protein localization to photoreceptor outer segment [GO:1903546]; retina development in camera-type eye [GO:0060041]; retina homeostasis [GO:0001895]; visual perception [GO:0007601]",,
O00300,reviewed,TR11B_HUMAN,Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin),TNFRSF11B OCIF OPG,Homo sapiens (Human),401,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],SUBCELLULAR LOCATION: Secreted.,46026,"FUNCTION: Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis. Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro. Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B. May also play a role in preventing arterial calcification. May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis. TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis. {ECO:0000269|PubMed:22664871, ECO:0000269|PubMed:9168977}.","TISSUE SPECIFICITY: Highly expressed in adult lung, heart, kidney, liver, spleen, thymus, prostate, ovary, small intestine, thyroid, lymph node, trachea, adrenal gland, testis, and bone marrow. Detected at very low levels in brain, placenta and skeletal muscle. Highly expressed in fetal kidney, liver and lung.",apoptotic process [GO:0006915]; extracellular matrix organization [GO:0030198]; negative regulation of bone resorption [GO:0045779]; negative regulation of odontogenesis of dentin-containing tooth [GO:0042489]; negative regulation of osteoclast differentiation [GO:0045671]; response to arsenic-containing substance [GO:0046685]; response to estrogen [GO:0043627]; response to magnesium ion [GO:0032026]; response to nutrient [GO:0007584]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; skeletal system development [GO:0001501],"SIGNAL 1..21; /evidence=""ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9571159""",
O00339,reviewed,MATN2_HUMAN,Matrilin-2,MATN2 UNQ193/PRO219,Homo sapiens (Human),956,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted.,106837,FUNCTION: Involved in matrix assembly. {ECO:0000250}.,,extracellular matrix organization [GO:0030198],"SIGNAL 1..23; /evidence=""ECO:0000255""",
O00391,reviewed,QSOX1_HUMAN,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1 QSCN6 UNQ2520/PRO6013,Homo sapiens (Human),747,endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724],"SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.",82578,"FUNCTION: Catalyzes the oxidation of sulfhydryl groups in peptide and protein thiols to disulfides with the reduction of oxygen to hydrogen peroxide (PubMed:17331072, PubMed:18393449, PubMed:23704371, PubMed:30367560, PubMed:23867277). Plays a role in disulfide bond formation in a variety of extracellular proteins (PubMed:17331072, PubMed:30367560, PubMed:22801504, PubMed:23867277). In fibroblasts, required for normal incorporation of laminin into the extracellular matrix, and thereby for normal cell-cell adhesion and cell migration (PubMed:23704371, PubMed:30367560, PubMed:23867277). {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:18393449, ECO:0000269|PubMed:22801504, ECO:0000269|PubMed:23704371, ECO:0000269|PubMed:23867277, ECO:0000269|PubMed:30367560}.","TISSUE SPECIFICITY: Expressed in heart, placenta, lung, liver, skeletal muscle, pancreas and very weakly in brain and kidney. {ECO:0000269|PubMed:10708601, ECO:0000269|Ref.8}.",extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]; protein folding [GO:0006457],"SIGNAL 1..29; /evidence=""ECO:0000255""",
