,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
7055,Q9Z351,reviewed,KCNQ2_MOUSE,Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2),Kcnq2 Kqt2,Mus musculus (Mouse),759,axon initial segment [GO:0043194]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; voltage-gated potassium channel complex [GO:0008076],,,,,potassium ion transmembrane transport [GO:0071805]; regulation of ion transmembrane transport [GO:0034765]; transmission of nerve impulse [GO:0019226],ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; delayed rectifier potassium channel activity [GO:0005251]; protein N-terminus binding [GO:0047485]; voltage-gated ion channel activity [GO:0005244]; voltage-gated potassium channel activity [GO:0005249],,,,axon initial segment [GO:0043194]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; voltage-gated potassium channel complex [GO:0008076]; ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; delayed rectifier potassium channel activity [GO:0005251]; protein N-terminus binding [GO:0047485]; voltage-gated ion channel activity [GO:0005244]; voltage-gated potassium channel activity [GO:0005249]; potassium ion transmembrane transport [GO:0071805]; regulation of ion transmembrane transport [GO:0034765]; transmission of nerve impulse [GO:0019226],,,GO:0005244; GO:0005249; GO:0005251; GO:0005516; GO:0005886; GO:0005887; GO:0008076; GO:0009986; GO:0016021; GO:0019226; GO:0030506; GO:0032991; GO:0033268; GO:0034765; GO:0043194; GO:0047485; GO:0071805,,
7069,Q8CDD8,reviewed,KCD20_MOUSE,BTB/POZ domain-containing protein KCTD20 (Potassium channel tetramerization domain containing 20),Kctd20,Mus musculus (Mouse),419,cytoplasm [GO:0005737],,,,,positive regulation of phosphorylation [GO:0042327],,,,,cytoplasm [GO:0005737]; positive regulation of phosphorylation [GO:0042327],,,GO:0005737; GO:0042327,,
7101,Q6ZQ58,reviewed,LARP1_MOUSE,La-related protein 1 (La ribonucleoprotein domain family member 1),Larp1 Kiaa0731 Larp,Mus musculus (Mouse),1072,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]; TORC1 complex [GO:0031931],,,,,cell population proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; positive regulation of macroautophagy [GO:0016239]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; post-transcriptional regulation of gene expression [GO:0010608]; response to amino acid starvation [GO:1990928]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; translational initiation [GO:0006413],eukaryotic initiation factor 4E binding [GO:0008190]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; ribosomal small subunit binding [GO:0043024]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; translation activator activity [GO:0008494]; translation initiation factor binding [GO:0031369],,,,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]; TORC1 complex [GO:0031931]; eukaryotic initiation factor 4E binding [GO:0008190]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; ribosomal small subunit binding [GO:0043024]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; translation activator activity [GO:0008494]; translation initiation factor binding [GO:0031369]; cell population proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; positive regulation of macroautophagy [GO:0016239]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; post-transcriptional regulation of gene expression [GO:0010608]; response to amino acid starvation [GO:1990928]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; translational initiation [GO:0006413],,,GO:0000339; GO:0000340; GO:0003723; GO:0003730; GO:0005737; GO:0005829; GO:0005844; GO:0006413; GO:0008190; GO:0008283; GO:0008494; GO:0010494; GO:0010608; GO:0016239; GO:0017148; GO:0031369; GO:0031929; GO:0031931; GO:0038202; GO:0042788; GO:0043024; GO:0045070; GO:0045727; GO:0045947; GO:0045948; GO:0048027; GO:0048255; GO:0072752; GO:1990928,,
7153,Q91YK8,reviewed,LYPD3_MOUSE,Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog),Lypd3 C4.4a,Mus musculus (Mouse),363,anchored component of membrane [GO:0031225]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886],,,,,cell-matrix adhesion [GO:0007160]; negative regulation of smooth muscle cell apoptotic process [GO:0034392],laminin binding [GO:0043236],,,,anchored component of membrane [GO:0031225]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; laminin binding [GO:0043236]; cell-matrix adhesion [GO:0007160]; negative regulation of smooth muscle cell apoptotic process [GO:0034392],,,GO:0005886; GO:0007160; GO:0016020; GO:0016021; GO:0031225; GO:0034392; GO:0043236,,
7195,H3BJS0,unreviewed,H3BJS0_MOUSE,Melanoma inhibitory activity protein 2,Mia2,Mus musculus (Mouse),805,integral component of membrane [GO:0016021],,,,,,,,,,integral component of membrane [GO:0016021],,,GO:0016021,,
7215,Q9WVS4,reviewed,MOK_MOUSE,"MAPK/MAK/MRK overlapping kinase, EC 2.7.11.22 (MOK protein kinase) (Serine/threonine kinase 30)",Mok Rage Stk30,Mus musculus (Mouse),420,ciliary base [GO:0097546]; cilium [GO:0005929]; cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468],ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],,,,ciliary base [GO:0097546]; cilium [GO:0005929]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468],,,GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0005929; GO:0006468; GO:0035556; GO:0046872; GO:0097546; GO:0106310,,
7227,Q8R0J2,unreviewed,Q8R0J2_MOUSE,Mannose-P-dolichol utilization defect 1 protein,Mpdu1,Mus musculus (Mouse),247,integral component of membrane [GO:0016021],,,,,dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; oligosaccharide biosynthetic process [GO:0009312],,,,,integral component of membrane [GO:0016021]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; oligosaccharide biosynthetic process [GO:0009312],,,GO:0006488; GO:0009312; GO:0016021,,
7233,A0A087WSB9,unreviewed,A0A087WSB9_MOUSE,"Membrane-spanning 4-domains, subfamily A, member 12",Ms4a12,Mus musculus (Mouse),263,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,cell surface receptor signaling pathway [GO:0007166],,,,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cell surface receptor signaling pathway [GO:0007166],,,GO:0005886; GO:0007166; GO:0016021,,
7234,Q9QUM7,reviewed,MSH5_MOUSE,MutS protein homolog 5,Msh5,Mus musculus (Mouse),833,nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795],,,,,chiasma assembly [GO:0051026]; female gamete generation [GO:0007292]; homologous chromosome pairing at meiosis [GO:0007129]; meiosis I [GO:0007127]; mismatch repair [GO:0006298],ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-stranded DNA binding [GO:0003690]; mismatched DNA binding [GO:0030983],,,,nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-stranded DNA binding [GO:0003690]; mismatched DNA binding [GO:0030983]; chiasma assembly [GO:0051026]; female gamete generation [GO:0007292]; homologous chromosome pairing at meiosis [GO:0007129]; meiosis I [GO:0007127]; mismatch repair [GO:0006298],,,GO:0000795; GO:0003690; GO:0005524; GO:0005634; GO:0005654; GO:0006298; GO:0007127; GO:0007129; GO:0007292; GO:0030983; GO:0051026; GO:0140664,,
7259,Q8VCR8,reviewed,MYLK2_MOUSE,"Myosin light chain kinase 2, skeletal/cardiac muscle, MLCK2, EC 2.7.11.18",Mylk2,Mus musculus (Mouse),613,cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195],,,,,cardiac muscle cell differentiation [GO:0055007]; cardiac muscle tissue morphogenesis [GO:0055008]; neuromuscular synaptic transmission [GO:0007274]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of fast-twitch skeletal muscle fiber contraction [GO:0031448]; positive regulation of gene expression [GO:0010628]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of MAPK cascade [GO:0043408]; regulation of muscle contraction [GO:0006937]; regulation of muscle filament sliding [GO:0032971]; regulation of neuronal synaptic plasticity [GO:0048168]; skeletal muscle cell differentiation [GO:0035914]; skeletal muscle satellite cell differentiation [GO:0014816]; striated muscle contraction [GO:0006941]; synaptic vesicle transport [GO:0048489]; water transport [GO:0006833],ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687],,,,cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687]; cardiac muscle cell differentiation [GO:0055007]; cardiac muscle tissue morphogenesis [GO:0055008]; neuromuscular synaptic transmission [GO:0007274]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of fast-twitch skeletal muscle fiber contraction [GO:0031448]; positive regulation of gene expression [GO:0010628]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of MAPK cascade [GO:0043408]; regulation of muscle contraction [GO:0006937]; regulation of muscle filament sliding [GO:0032971]; regulation of neuronal synaptic plasticity [GO:0048168]; skeletal muscle cell differentiation [GO:0035914]; skeletal muscle satellite cell differentiation [GO:0014816]; striated muscle contraction [GO:0006941]; synaptic vesicle transport [GO:0048489]; water transport [GO:0006833],,,GO:0004687; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006833; GO:0006937; GO:0006941; GO:0007274; GO:0008021; GO:0010628; GO:0014069; GO:0014816; GO:0018107; GO:0030425; GO:0031448; GO:0032027; GO:0032971; GO:0035914; GO:0043025; GO:0043195; GO:0043197; GO:0043408; GO:0046777; GO:0048168; GO:0048489; GO:0051726; GO:0055007; GO:0055008,,
7265,Q8C567,reviewed,NCTR1_MOUSE,"Natural cytotoxicity triggering receptor 1 (Activating receptor 1, mAR-1) (Lymphocyte antigen 94) (Natural killer cell p46-related protein, NK-p46, NKp46, mNKp46) (CD antigen CD335)",Ncr1 Ly94,Mus musculus (Mouse),325,cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,defense response to virus [GO:0051607]; detection of virus [GO:0009597],,,,,cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; defense response to virus [GO:0051607]; detection of virus [GO:0009597],,,GO:0005886; GO:0009597; GO:0009986; GO:0016021; GO:0051607,,
7269,Q9D1J1,reviewed,NECP2_MOUSE,"Adaptin ear-binding coat-associated protein 2 (NECAP endocytosis-associated protein 2, NECAP-2)",Necap2,Mus musculus (Mouse),266,clathrin vesicle coat [GO:0030125]; plasma membrane [GO:0005886],,,,,endocytosis [GO:0006897]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192],,,,,clathrin vesicle coat [GO:0030125]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192],,,GO:0005886; GO:0006897; GO:0015031; GO:0016192; GO:0030125,,
7272,Q9JL89,reviewed,NINJ2_MOUSE,Ninjurin-2 (Nerve injury-induced protein 2),Ninj2,Mus musculus (Mouse),143,integral component of membrane [GO:0016021],,,,,cell adhesion [GO:0007155]; tissue regeneration [GO:0042246],,,,,integral component of membrane [GO:0016021]; cell adhesion [GO:0007155]; tissue regeneration [GO:0042246],,,GO:0007155; GO:0016021; GO:0042246,,
7292,P51576,reviewed,P2RX1_MOUSE,"P2X purinoceptor 1, P2X1 (ATP receptor) (Purinergic receptor)",P2rx1,Mus musculus (Mouse),399,external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]; integral component of nuclear inner membrane [GO:0005639]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic active zone membrane [GO:0099059]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; protein-containing complex [GO:0032991],,,,,"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; cation transmembrane transport [GO:0098655]; ceramide biosynthetic process [GO:0046513]; establishment of localization in cell [GO:0051649]; insemination [GO:0007320]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]; neuronal action potential [GO:0019228]; platelet activation [GO:0030168]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of ion transport [GO:0043270]; regulation of blood pressure [GO:0008217]; regulation of calcium ion transport [GO:0051924]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; regulation of smooth muscle contraction [GO:0006940]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of vascular associated smooth muscle contraction [GO:0003056]; regulation of vasoconstriction [GO:0019229]; response to ATP [GO:0033198]; response to organic substance [GO:0010033]; serotonin secretion by platelet [GO:0002554]; synaptic transmission, glutamatergic [GO:0035249]",ATP binding [GO:0005524]; cation channel activity [GO:0005261]; extracellularly ATP-gated cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166]; organic cyclic compound binding [GO:0097159]; protein-containing complex binding [GO:0044877]; purinergic nucleotide receptor activity [GO:0001614]; suramin binding [GO:0043924],,,,"external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]; integral component of nuclear inner membrane [GO:0005639]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic active zone membrane [GO:0099059]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; cation channel activity [GO:0005261]; extracellularly ATP-gated cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166]; organic cyclic compound binding [GO:0097159]; protein-containing complex binding [GO:0044877]; purinergic nucleotide receptor activity [GO:0001614]; suramin binding [GO:0043924]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; cation transmembrane transport [GO:0098655]; ceramide biosynthetic process [GO:0046513]; establishment of localization in cell [GO:0051649]; insemination [GO:0007320]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]; neuronal action potential [GO:0019228]; platelet activation [GO:0030168]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of ion transport [GO:0043270]; regulation of blood pressure [GO:0008217]; regulation of calcium ion transport [GO:0051924]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; regulation of smooth muscle contraction [GO:0006940]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of vascular associated smooth muscle contraction [GO:0003056]; regulation of vasoconstriction [GO:0019229]; response to ATP [GO:0033198]; response to organic substance [GO:0010033]; serotonin secretion by platelet [GO:0002554]; synaptic transmission, glutamatergic [GO:0035249]",,,GO:0000166; GO:0001614; GO:0002554; GO:0003056; GO:0004931; GO:0005261; GO:0005524; GO:0005639; GO:0005886; GO:0006811; GO:0006915; GO:0006919; GO:0006940; GO:0007320; GO:0008217; GO:0009897; GO:0010033; GO:0019228; GO:0019229; GO:0030168; GO:0032991; GO:0033198; GO:0034220; GO:0035249; GO:0042802; GO:0043005; GO:0043270; GO:0043924; GO:0044877; GO:0045121; GO:0045211; GO:0046513; GO:0051649; GO:0051924; GO:0097159; GO:0098655; GO:0098978; GO:0099055; GO:0099059; GO:0099509; GO:1905665; GO:2000300,,
7330,P16331,reviewed,PH4H_MOUSE,"Phenylalanine-4-hydroxylase, PAH, EC 1.14.16.1 (Phe-4-monooxygenase)",Pah,Mus musculus (Mouse),453,,,,,,"L-phenylalanine catabolic process [GO:0006559]; L-phenylalanine metabolic process [GO:0006558]; protein hydroxylation [GO:0018126]; tyrosine biosynthetic process [GO:0006571]; tyrosine biosynthetic process, by oxidation of phenylalanine [GO:0019293]",amino acid binding [GO:0016597]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; phenylalanine 4-monooxygenase activity [GO:0004505],,,,"amino acid binding [GO:0016597]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; phenylalanine 4-monooxygenase activity [GO:0004505]; L-phenylalanine catabolic process [GO:0006559]; L-phenylalanine metabolic process [GO:0006558]; protein hydroxylation [GO:0018126]; tyrosine biosynthetic process [GO:0006571]; tyrosine biosynthetic process, by oxidation of phenylalanine [GO:0019293]",,,GO:0004505; GO:0005506; GO:0006558; GO:0006559; GO:0006571; GO:0016597; GO:0018126; GO:0019293; GO:0042802,,
7335,Q5DU28,reviewed,PCX2_MOUSE,Pecanex-like protein 2 (Pecanex homolog protein 2),Pcnx2 Kiaa0435 Pcnxl2,Mus musculus (Mouse),2122,integral component of membrane [GO:0016021],,,,,,,,,,integral component of membrane [GO:0016021],,,GO:0016021,,
7337,E9QLQ3,unreviewed,E9QLQ3_MOUSE,"Phosphodiesterase, EC 3.1.4.-",Pde3b,Mus musculus (Mouse),1099,guanyl-nucleotide exchange factor complex [GO:0032045]; integral component of membrane [GO:0016021],,,,,negative regulation of angiogenesis [GO:0016525]; negative regulation of cell adhesion [GO:0007162]; negative regulation of lipid catabolic process [GO:0050995]; signal transduction [GO:0007165],"3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]",,,,"guanyl-nucleotide exchange factor complex [GO:0032045]; integral component of membrane [GO:0016021]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell adhesion [GO:0007162]; negative regulation of lipid catabolic process [GO:0050995]; signal transduction [GO:0007165]",,,GO:0004114; GO:0007162; GO:0007165; GO:0016021; GO:0016525; GO:0032045; GO:0046872; GO:0050995,,
7353,P47857,reviewed,PFKAM_MOUSE,"ATP-dependent 6-phosphofructokinase, muscle type, ATP-PFK, PFK-M, EC 2.7.1.11 (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A, PFK-A) (Phosphohexokinase)",Pfkm Pfk-m Pfka,Mus musculus (Mouse),780,6-phosphofructokinase complex [GO:0005945]; apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; sperm principal piece [GO:0097228],,,,,"canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycolysis from storage polysaccharide through glucose-1-phosphate [GO:0093001]; glycolytic process [GO:0006096]; glycolytic process through fructose-6-phosphate [GO:0061615]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion [GO:0032024]; positive regulation of transcription by RNA polymerase II [GO:0045944]",6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; fructose binding [GO:0070061]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; phosphofructokinase activity [GO:0008443]; protein C-terminus binding [GO:0008022],,,,"6-phosphofructokinase complex [GO:0005945]; apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; sperm principal piece [GO:0097228]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; fructose binding [GO:0070061]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; phosphofructokinase activity [GO:0008443]; protein C-terminus binding [GO:0008022]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycolysis from storage polysaccharide through glucose-1-phosphate [GO:0093001]; glycolytic process [GO:0006096]; glycolytic process through fructose-6-phosphate [GO:0061615]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion [GO:0032024]; positive regulation of transcription by RNA polymerase II [GO:0045944]",,,GO:0003872; GO:0005524; GO:0005634; GO:0005829; GO:0005945; GO:0005980; GO:0006002; GO:0006096; GO:0008022; GO:0008443; GO:0016020; GO:0016208; GO:0016324; GO:0019900; GO:0030246; GO:0030388; GO:0032024; GO:0042593; GO:0042802; GO:0045944; GO:0046716; GO:0046872; GO:0048029; GO:0061615; GO:0061621; GO:0070061; GO:0070095; GO:0093001; GO:0097228,,
7359,Q8BUY9,reviewed,PGTB1_MOUSE,"Geranylgeranyl transferase type-1 subunit beta, EC 2.5.1.59 (Geranylgeranyl transferase type I subunit beta, GGTase-I-beta) (Type I protein geranyl-geranyltransferase subunit beta)",Pggt1b,Mus musculus (Mouse),377,CAAX-protein geranylgeranyltransferase complex [GO:0005953],,,,,negative regulation of nitric-oxide synthase biosynthetic process [GO:0051771]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; protein geranylgeranylation [GO:0018344]; protein prenylation [GO:0018342]; response to cytokine [GO:0034097],CAAX-protein geranylgeranyltransferase activity [GO:0004662]; heterocyclic compound binding [GO:1901363]; peptide binding [GO:0042277]; protein geranylgeranyltransferase activity [GO:0004661]; small molecule binding [GO:0036094]; zinc ion binding [GO:0008270],,,,CAAX-protein geranylgeranyltransferase complex [GO:0005953]; CAAX-protein geranylgeranyltransferase activity [GO:0004662]; heterocyclic compound binding [GO:1901363]; peptide binding [GO:0042277]; protein geranylgeranyltransferase activity [GO:0004661]; small molecule binding [GO:0036094]; zinc ion binding [GO:0008270]; negative regulation of nitric-oxide synthase biosynthetic process [GO:0051771]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; protein geranylgeranylation [GO:0018344]; protein prenylation [GO:0018342]; response to cytokine [GO:0034097],,,GO:0004661; GO:0004662; GO:0005953; GO:0008270; GO:0008284; GO:0018342; GO:0018344; GO:0034097; GO:0036094; GO:0042277; GO:0045787; GO:0051771; GO:1901363,,
7371,Q3UBG2,reviewed,PCLI1_MOUSE,"PTB-containing, cubilin and LRP1-interacting protein, P-CLI1 (Phosphotyrosine interaction domain-containing protein 1)",Pid1 Pcli1,Mus musculus (Mouse),217,cytoplasm [GO:0005737],,,,,cellular response to cytokine stimulus [GO:0071345]; cellular response to fatty acid [GO:0071398]; cellular response to interleukin-6 [GO:0071354]; cellular response to leptin stimulus [GO:0044320]; cellular response to tumor necrosis factor [GO:0071356]; mitochondrion morphogenesis [GO:0070584]; negative regulation of ATP biosynthetic process [GO:2001170]; negative regulation of glucose import [GO:0046325]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of fat cell proliferation [GO:0070346]; positive regulation of gene expression [GO:0010628]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of reactive oxygen species metabolic process [GO:2000377],,,,,cytoplasm [GO:0005737]; cellular response to cytokine stimulus [GO:0071345]; cellular response to fatty acid [GO:0071398]; cellular response to interleukin-6 [GO:0071354]; cellular response to leptin stimulus [GO:0044320]; cellular response to tumor necrosis factor [GO:0071356]; mitochondrion morphogenesis [GO:0070584]; negative regulation of ATP biosynthetic process [GO:2001170]; negative regulation of glucose import [GO:0046325]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of fat cell proliferation [GO:0070346]; positive regulation of gene expression [GO:0010628]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of reactive oxygen species metabolic process [GO:2000377],,,GO:0001933; GO:0005737; GO:0010628; GO:0044320; GO:0045944; GO:0046325; GO:0046627; GO:0051881; GO:0070346; GO:0070584; GO:0071345; GO:0071354; GO:0071356; GO:0071398; GO:1903077; GO:2000377; GO:2000379; GO:2001170; GO:2001171,,
7393,Q9WVQ0,reviewed,PMFBP_MOUSE,"Polyamine-modulated factor 1-binding protein 1, PMF-1-binding protein (Sperm tail-associated protein)",Pmfbp1 Stap,Mus musculus (Mouse),1022,cytoplasm [GO:0005737]; sperm connecting piece [GO:0097224],,,,,spermatogenesis [GO:0007283],,,,,cytoplasm [GO:0005737]; sperm connecting piece [GO:0097224]; spermatogenesis [GO:0007283],,,GO:0005737; GO:0007283; GO:0097224,,
7422,Q9JIG8,reviewed,PRAF2_MOUSE,PRA1 family protein 2,Praf2 DXImx39e,Mus musculus (Mouse),178,endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; membrane [GO:0016020],,,,,protein transport [GO:0015031],,,,,endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; protein transport [GO:0015031],,,GO:0010008; GO:0015031; GO:0016020; GO:0016021,,
